id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
RU-2541202-C2,Rephrasing user requests and results by automated intelligent assistant ,Эппл Инк.,"Томас Роберт ГРУБЕР, Адам Джон ЧЕЙЕР, Даг КИТТЛОС, Дидье Рене ГУДЗЗОНИ, Кристофер Дин БРИГЕМ, Ричард Дональд ДЖУЛИ, Марчелло БАСТЕА-ФОРТЕ, Гарри Джозеф СЭДДЛЕР",2010-01-18,2011-01-11,2015-02-10,2015-02-10,https://patents.google.com/patent/RU2541202C2/en,https://patentimages.storage.googleapis.com/ef/ec/a0/34fbe8111fbee0/00000002.png
US-2020133964-A1,System and method for analysis and determination of relationships from a variety of data sources ,Kpmg Llp,"John Hyung LEE, James Johnson Gardner, Justin EDWARDS, Gregory Alexander Vorsanger, David Anthony SCRIPKA, Rachel A. WAGNER-KAISER",2017-10-13,2019-12-30,2020-04-30,,https://patents.google.com/patent/US20200133964A1/en,https://patentimages.storage.googleapis.com/ed/4d/2a/874ef4a703bf48/US20200133964A1-20200430-D00000.png
US-10635858-B2,Electronic message classification and delivery using a neural network architecture ,Nec Corporation,"Renqiang Min, Dinghan Shen, Yitong LI",2017-09-11,2018-07-18,2020-04-28,2020-04-28,https://patents.google.com/patent/US10635858B2/en,https://patentimages.storage.googleapis.com/38/06/61/4cbc0a76f1a960/US10635858-20200428-D00000.png
US-10747823-B1,Interactive and conversational data exploration ,Narrative Science Inc.,"Lawrence A. Birnbaum, Kristian J. Hammond",2014-10-22,2018-02-13,2020-08-18,2020-08-18,https://patents.google.com/patent/US10747823B1/en,https://patentimages.storage.googleapis.com/f2/8e/aa/4a6282658fb100/US10747823-20200818-D00000.png
US-10394854-B2,Inferring entity attribute values ,"Microsoft Technology Licensing, Llc","Bhaskar Mitra, Elbio Renato Abib, Fabio Eigi Imada, Yu Jiao",2013-05-09,2016-10-12,2019-08-27,2019-08-27,https://patents.google.com/patent/US10394854B2/en,https://patentimages.storage.googleapis.com/9f/62/77/725aa54f84ca5a/US10394854-20190827-D00000.png
US-10515400-B2,Learning vector-space representations of items for recommendations using word embedding models ,Adobe Inc.,"Balaji Krishnamurthy, Raghavender Goel, Nikaash Puri",2016-09-08,2016-09-08,2019-12-24,2019-12-24,https://patents.google.com/patent/US10515400B2/en,https://patentimages.storage.googleapis.com/53/1a/c5/eb94d5090d6f44/US10515400-20191224-D00000.png
US-10296443-B2,Automatically predicting faults that caused software failures using a Markov logic network ,The Board Of Trustees Of The University Of Illinois,Mark Grechanik,2015-10-09,2016-10-06,2019-05-21,2019-05-21,https://patents.google.com/patent/US10296443B2/en,https://patentimages.storage.googleapis.com/70/2a/25/4d25b706beda20/US10296443-20190521-D00000.png
US-10162734-B1,Method and system for crowdsourcing software quality testing and error detection in a tax return preparation system ,Intuit Inc.,"Igor A. Podgorny, Joseph Cessna, Christopher C. Gielow, Matthew Cannon",2016-07-20,2016-07-20,2018-12-25,2018-12-25,https://patents.google.com/patent/US10162734B1/en,https://patentimages.storage.googleapis.com/bf/34/d1/bd1fce57d45b6f/US10162734-20181225-D00000.png
US-2019079921-A1,Systems and methods for automated question response ,"Conversica, Inc.","Alex Terry, Werner Koepf, James Harriger, Will Webb-Purkis, Joseph M. Silverbears, Macgregor S. Gainor, Ryan Ginstrom, Siddhartha Reddy Jonnalagadda",2015-01-23,2018-09-12,2019-03-14,,https://patents.google.com/patent/US20190079921A1/en,https://patentimages.storage.googleapis.com/68/b2/13/7654e4c2393d11/US20190079921A1-20190314-D00000.png
RU-2745632-C1,"Automated response server device, terminal device, response system, response method and program ",Джи Интернэшнл Корпорейшн,Минсу КИМ,2017-07-14,2018-06-07,2021-03-29,2021-03-29,https://patents.google.com/patent/RU2745632C1/en,https://patentimages.storage.googleapis.com/a6/4d/8a/f8f5e4e3a89162/00000003.png
