search URL:,https://patents.google.com/?q=G06N5%252f022
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2019258943-A1,Rule-based system and method to be used in the system ,Profium Oy,"Tommi KOIVULA, Jari Vänttinen",2018-02-16,2018-02-16,2019-08-22,,https://patents.google.com/patent/US20190258943A1/en,https://patentimages.storage.googleapis.com/b5/55/29/0b219e7225b47c/US20190258943A1-20190822-D00000.png
US-2022172050-A1,Method for an explainable autoencoder and an explainable generative adversarial network ,UMNAI Limited,"Angelo Dalli, Mauro PIRRONE, Matthew GRECH",2020-11-16,2021-11-16,2022-06-02,,https://patents.google.com/patent/US20220172050A1/en,https://patentimages.storage.googleapis.com/87/64/33/51bb183c8353b7/US20220172050A1-20220602-D00000.png
US-10810509-B2,Artificial intelligence apparatus autonomously expanding knowledge by inputting language ,Hiroaki Miyazaki,Hiroaki Miyazaki,2015-10-16,2016-09-29,2020-10-20,2020-10-20,https://patents.google.com/patent/US10810509B2/en,https://patentimages.storage.googleapis.com/69/ba/74/650129344e30a0/US10810509-20201020-D00000.png
US-7917460-B2,Systems and methods for generating a decision network from text ,Northrop Grumman Corporation,"Patrick James Talbot, Dennis Regan Ellis",2004-06-30,2004-06-30,2011-03-29,2011-03-29,https://patents.google.com/patent/US7917460B2/en,https://patentimages.storage.googleapis.com/c7/f6/9f/12b2e06ef4f8a4/US07917460-20110329-D00000.png
US-11475330-B2,Machine learning systems and methods for automated prediction of innovative solutions to targeted problems ,"dMASS, Inc.","Kathryn Lewis, Lionel Wolberger, Howard Brown",2019-06-05,2020-06-05,2022-10-18,2022-10-18,https://patents.google.com/patent/US11475330B2/en,https://patentimages.storage.googleapis.com/25/55/48/ed99ed2ec03e49/US11475330-20221018-D00000.png
US-10606893-B2,Expanding knowledge graphs based on candidate missing edges to optimize hypothesis set adjudication ,International Business Machines Corporation,"Paul E. Brennan, Scott R. Carrier, Michael L. Stickler",2016-09-15,2016-09-15,2020-03-31,2020-03-31,https://patents.google.com/patent/US10606893B2/en,https://patentimages.storage.googleapis.com/ff/93/1f/663fbd12e6a825/US10606893-20200331-D00000.png
US-7937358-B2,System and method for building and merging a rulebase with object oriented software ,"Computer Associates Think, Inc.","Peter J. Herrera, Ronald Cass, Kirk D. Wilson, It-Beng Tan",2002-04-19,2010-11-02,2011-05-03,2011-05-03,https://patents.google.com/patent/US7937358B2/en,https://patentimages.storage.googleapis.com/1a/1f/b5/b25da07d7e21c4/US07937358-20110503-D00000.png
US-10672516-B1,Decision-support recommendation optimization ,"Cerner Innovation, Inc.","Douglas S. McNair, John Christopher Murrish, J. Bryan Ince",2011-10-07,2016-12-29,2020-06-02,2020-06-02,https://patents.google.com/patent/US10672516B1/en,https://patentimages.storage.googleapis.com/3a/a8/44/021c905e24ee3a/US10672516-20200602-D00000.png
US-11645541-B2,Machine learning model interpretation ,Adobe Inc.,"Piyush Gupta, Nikaash Puri, Balaji Krishnamurthy",2017-11-17,2017-11-17,2023-05-09,2023-05-09,https://patents.google.com/patent/US11645541B2/en,https://patentimages.storage.googleapis.com/69/7f/5c/a536704f64c779/US11645541-20230509-D00000.png
US-10503791-B2,System for creating a reasoning graph and for ranking of its nodes ,Borislav Agapiev,Borislav Agapiev,2017-09-04,2017-10-25,2019-12-10,2019-12-10,https://patents.google.com/patent/US10503791B2/en,https://patentimages.storage.googleapis.com/8a/df/a5/5246b7ad76af99/US10503791-20191210-D00000.png
